Year,Month,Page path and screen class,Views
2026,01,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,10221
2026,03,/en/health/medical-cards-and-gp-visit-cards/medical-card/,10005
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,9986
2026,03,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,9805
2026,03,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,9666
2026,02,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,9573
2026,02,/en/social-welfare/unemployed-people/jobseekers-allowance/,9561
2026,03,/en/social-welfare/unemployed-people/jobseekers-allowance/,9536
2026,07,/en/social-welfare/families-and-children/working-family-payment/,9497
2026,05,/en/social-welfare/carers/carers-support-grant/,9480
2026,06,/en/social-welfare/families-and-children/working-family-payment/,9470
2026,02,/en/health/medical-cards-and-gp-visit-cards/medical-card/,9461
2026,01,/en/money-and-tax/tax/income-tax/how-your-tax-is-calculated/,9441
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,9331
2026,04,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,9186
2026,01,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,9166
2026,04,/en/social-welfare/unemployed-people/jobseekers-benefit/,9038
2026,01,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/grants-for-a-home-energy-upgrade/,9014
2026,03,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,8974
2026,01,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/better-energy-homes-scheme/,8917
2026,03,/en/social-welfare/,8873
2026,05,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,8768
2026,05,/en/social-welfare/unemployed-people/jobseekers-benefit/,8702
2026,02,/en/social-welfare/families-and-children/one-parent-family-payment/,8636
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/annual-leave/,8508
2026,07,/en/social-welfare/older-and-retired-people/state-pension-contributory/,8488
2026,02,/en/moving-country/irish-citizenship/foreign-births-register/,8443
2026,05,/en/social-welfare/unemployed-people/jobseekers-allowance/,8439
2026,01,/en/social-welfare/families-and-children/child-benefit/,8375
2026,03,/en/social-welfare/families-and-children/one-parent-family-payment/,8351
2026,04,/en/social-welfare/unemployed-people/jobseekers-allowance/,8338
2026,01,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/warmer-homes-scheme/,8294
2026,04,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,8216
2026,05,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,8211
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,8094
2026,04,/en/health/medical-cards-and-gp-visit-cards/medical-card/,8074
2026,06,/en/social-welfare/unemployed-people/jobseekers-benefit/,8065
2026,05,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,8048
2026,01,/en/social-welfare/families-and-children/maternity-benefit/,7997
2026,02,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,7988
2026,03,/en/moving-country/irish-citizenship/foreign-births-register/,7938
2026,04,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,7934
2026,01,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,7883
2026,07,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,7878
2026,02,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,7867
2026,06,/en/social-welfare/carers/carers-support-grant/,7830
2026,07,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,7820
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/maternity-leave/,7777
2026,04,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,7766
2026,01,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-aid-for-older-people-grant/,7681
2026,06,/en/social-welfare/unemployed-people/jobseekers-allowance/,7656
2026,05,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,7563
2026,06,/en/moving-country/asylum-seekers-and-refugees/the-asylum-process-in-ireland/eu-migration-and-asylum-pact/,7528
2026,01,/en/social-welfare/older-and-retired-people/state-pension-non-contributory/,7485
2026,07,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,7478
2026,05,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,7471
2026,05,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,7469
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,7455
2026,02,/en/social-welfare/,7450
2026,06,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,7376
2026,03,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,7322
2026,06,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,7310
2026,05,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,7234
2026,04,/en/moving-country/irish-citizenship/foreign-births-register/,7230
2026,06,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,7203
2026,02,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/better-energy-homes-scheme/,7201
2026,03,/en/social-welfare/extra-social-welfare-benefits/free-travel/,7188
2026,07,/en/social-welfare/unemployed-people/jobseekers-allowance/,7130
2026,06,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,7103
2026,04,/en/social-welfare/,7066
2026,04,/en/social-welfare/families-and-children/one-parent-family-payment/,7066
2026,06,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,7000
2026,01,/en/social-welfare/disability-and-illness/invalidity-pension/,6993
2026,02,/en/social-welfare/extra-social-welfare-benefits/free-travel/,6988
2026,07,/en/social-welfare/unemployed-people/jobseekers-benefit/,6957
2026,02,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-aid-for-older-people-grant/,6942
2026,04,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,6929
2026,07,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,6883
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,6873
2026,01,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,6864
2026,05,/en/social-welfare/families-and-children/one-parent-family-payment/,6852
2026,07,/en/health/medical-cards-and-gp-visit-cards/medical-card/,6846
2026,02,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,6827
2026,05,/en/health/medical-cards-and-gp-visit-cards/medical-card/,6800
2026,01,/en/social-welfare/extra-social-welfare-benefits/free-travel/,6782
2026,07,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,6729
2026,01,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,6650
2026,01,/en/social-welfare/death-related-benefits/bereaved-partners-contributory-pension/,6602
2026,05,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,6584
2026,01,/en/social-welfare/irish-social-welfare-system/public-services-card/,6568
2026,01,/en/about/contact-us/,6512
2026,02,/en/social-welfare/older-and-retired-people/state-pension-non-contributory/,6465
